TF,mean_delta,median_delta,n_targets
FOXF2,0.3259105407984214,0.3259105407984214,2
RBMX,0.25948175435463916,0.25948175435463916,1
SNAPC2,0.2440940427654724,0.2440940427654724,2
FOXQ1,0.23797262196312502,0.23797262196312502,1
GTF3C1,-0.23430731954279077,-0.23430731954279077,1
PGBD5,0.20784054158545534,0.20784054158545534,2
FOXC1,0.1976913775641223,0.24325842684584223,17
CREB3L2,-0.1863291167234181,-0.1901772679225837,4
LAMB3,0.17436120031342583,0.17436120031342583,1
TUBG1,0.17394378474842426,0.17394378474842426,2
NFE2L3,0.1662741348480574,0.21508085186439277,3
HOXA13,-0.1613608867181202,-0.1593875473711247,4
MCRS1,0.15017128900197274,0.15017128900197274,2
ALX4,0.14915894623092063,0.1554291841084962,6
ZNF445,-0.1455184814727719,-0.1455184814727719,2
CARM1,0.1422867755685416,0.11201905227651776,3
ZNF165,-0.14002314046598635,-0.11725789976490075,13
BRF2,0.13663280272412448,0.12734640797865038,3
WRN,-0.13622372199002097,-0.13622372199002097,2
ZNF491,0.13475058574960994,0.11771728656773528,3
ZNF26,0.13304800076863887,0.13304800076863887,2
MNX1,0.13285694158389694,0.110228302494888,4
LHX4,-0.1279532922243617,-0.1279532922243617,2
ZNF488,0.12683401816787723,0.09046424831805788,13
SOX10,0.12536777898708062,0.10467580941327762,69
HOXB7,0.12020250453879228,0.12020250453879228,2
YBX1,0.11679536801660559,0.1159344370264764,14
CREBL2,-0.1128537738272668,-0.13045996757839923,4
ZNF532,0.10929091103062955,0.14989630214728267,6
TASOR,-0.10902416532751136,-0.10783093716222393,27
TCOF1,0.10895148523763333,0.10895148523763333,1
ZNF585B,-0.10597204178096929,-0.08579460936055572,23
KAT2A,0.09851497954333632,0.1702294127648402,37
SNAPC4,0.09843420005267454,0.09675088623506611,15
ATOH8,0.09794039191812255,0.11137810923707231,6
ZNF20,0.0964733065081822,0.0964733065081822,1
PAF1,-0.09633217884306942,-0.11889830681728514,5
CDC5L,-0.09487015283199432,-0.09639004299154227,52
ZNF19,-0.09269349280925716,-0.09269349280925716,2
ZNF626,-0.09228604428472827,-0.09228604428472827,1
ZNF239,0.09198840651985499,0.10300581212363075,11
ZNF586,-0.090876451001875,-0.06260818158190339,8
DMRT1,0.08929413391378403,0.08306267360159225,41
ARHGAP35,-0.08759076088453854,-0.10416623598782437,5
DROSHA,-0.08583907469756939,-0.0903787899309755,7
SETBP1,-0.08583816687723603,-0.07076294083486279,8
ZNF493,-0.08578770344085104,-0.08578770344085104,2
ZFP37,-0.0855271058078277,-0.0855271058078277,1
ZFP82,-0.0842919386802494,-0.10801571948111563,3
ZNF22,0.08416627695583583,0.07380714050606718,155
F10,0.08368810949714477,0.05445665217109545,63
HOXD1,0.08324717517641239,0.050637899934891595,8
LMX1B,-0.08281867290008897,-0.12409329155382899,5
MDM2,0.08264707198353469,0.08264707198353469,2
EMX1,-0.08206032967965413,-0.09408893367261756,16
ZNF677,0.08197380566783347,0.06992025849377696,17
VRTN,-0.08176069929279298,-0.08121715632723411,4
ZNF776,-0.08173569775229678,-0.08173569775229678,1
CDX1,0.08112492326310725,0.08241663142754335,3
NOTCH3,0.08076738922198864,0.0680943459782627,187
SRPK2,-0.08005854026887277,-0.09076744848537897,10
MCM2,0.0792242151190766,0.053212967083168715,6
MZF1,-0.07885912383765113,-0.08574622115736683,241
ZNF597,-0.07856029302359586,-0.08853179853835705,137
NPAT,-0.07821296545084419,-0.05783222875424193,25
HOXD11,0.07703158889066922,0.08544103708994041,4
ZNF581,0.0756925030387039,0.05542505947706971,16
REPIN1,-0.07542846829464542,-0.07542846829464542,1
ELF5,0.0752171224552802,0.05702218291702253,38
WIZ,0.07470938376929512,0.07470938376929512,2
ATM,-0.07453395881533764,-0.07453395881533764,2
GLI1,0.07449889986937164,0.07815907508165931,98
NCOA2,-0.07367516458331082,-0.0807330996239859,60
TFAM,0.07274885166909231,0.0701878666619683,6
GLI3,-0.07243802965755178,-0.06994456040498373,50
COIL,0.07230141593507768,0.08670641513885055,5
ZNF34,-0.07228470552523067,-0.057846225716063154,36
ZNF680,-0.07217691690185118,-0.08860426519418937,121
MYF6,-0.0716546873325305,-0.0716546873325305,2
SOX15,0.0715906936309322,0.0715906936309322,2
HMCES,-0.07156598458204669,-0.07156598458204669,2
SOX11,0.07113104845797066,0.06401058025159406,3
ZNF433,-0.06858591063872256,-0.10734921348843951,9
TBX3,-0.06766482764301872,-0.06628481725128035,80
DACH1,-0.0663677602627354,-0.08707930756555693,102
UBN1,-0.06608559592613987,-0.0671267746461717,188
NEUROG3,-0.06592125812152555,-0.06592125812152555,2
ZNF223,-0.06564040566514302,-0.0736326425603192,45
GTF2E2,0.06533323624222669,0.03548875646787738,34
ZNF302,-0.06524505552023983,-0.06524505552023983,1
ZNF704,0.06463668242955181,0.06463668242955181,1
GUCY1B1,0.06414735823869944,0.10074957248568375,39
WDHD1,0.0641240674358171,0.058517238418800785,13
CUX1,-0.06407605669523793,-0.07072355579913586,115
PRDM5,0.0640387632236463,0.05577200781284841,29
RBL1,0.06253403273469044,0.06253403273469044,2
ZNF512,0.062273892450452784,0.08898759178667506,89
RUVBL2,0.06218616483766764,0.11258783675948891,3
TERT,0.06215516724956613,0.06802085115812703,12
IRX3,-0.06203157433188709,0.017808145439676307,3
LCORL,-0.06142603802227714,-0.05672112367663301,73
ZNF667,0.06131137285411762,0.04845110127041888,11
F2RL1,0.06092796619578017,0.06092796619578017,1
ZNF664,-0.06081975286024314,-0.05681109156719208,145
ARID5B,0.060436911454732144,0.08912085331915241,73
ZFHX3,-0.06004769014722542,-0.07877584950891511,121
SFMBT1,-0.059276891381699975,-0.06861725969961609,188
PBRM1,0.05927423126830337,0.05927423126830337,2
SETD7,-0.05925762653243941,-0.07033008782911684,72
ZNF292,-0.058969499355503024,-0.05661398613048402,5
SKP2,-0.05851878420939549,-0.0582891008880899,20
NCOA4,-0.05834307222249837,-0.060682356102528534,91
ZNF322,-0.05826112303399214,-0.06352335913930307,129
ZNF563,-0.05814612760066743,-0.049899544771605735,118
ADNP,-0.056764307822127755,-0.05472947719404779,97
HOXA1,0.056445941812816626,0.06991572141807022,62
MPHOSPH8,-0.056351245624049424,-0.056351245624049424,1
BRF1,-0.05622354375433756,-0.07784831177887175,6
WRNIP1,-0.055527810219231165,-0.054565779997068124,94
HOXA7,0.055495867212982185,0.01558906160430372,7
KLF7,0.05535299322591305,0.07399361018488393,81
HEY2,0.05510068574570397,0.044929141252239777,16
ZNF133,0.054924007993616866,0.04887400672143016,49
ZNF33A,-0.05442675454584061,-0.078801998120431,32
DLX6,0.05440043346789072,0.06845880260969633,51
EWSR1,-0.05367252351259201,-0.05837542761945684,95
ZNF136,-0.053420093981783594,-0.053420093981783594,1
ZNF391,0.053401399679302707,0.0345482537762498,106
ZNF791,-0.052263400535177,-0.04190273820193917,12
MAML1,-0.051299138428670545,-0.06722177056936009,73
ZMYND11,-0.05124154154762524,-0.05120220146496408,5
ZNF623,-0.05087792176474076,-0.05215047065770394,78
FOXO4,0.05059989816849214,0.053515293897740554,17
TAF9B,-0.04996742118931885,-0.05664004655627568,36
ZBTB1,-0.04993480270524873,-0.02369886856598999,11
PAX8,-0.04976331240244475,-0.039599250940223873,18
ZNF528,-0.04966499123495119,-0.05631163388643293,87
TBPL1,0.04959134056819109,0.061061171018182724,44
ZNF23,0.04922774871634164,0.024562918376698786,5
RORA,0.04918382710191456,0.06506465823291505,10
ZNF30,-0.04902254197666238,-0.05183479158092208,147
ZNF501,-0.048033880659861854,-0.048033880659861854,1
DLX2,0.047789989800191036,0.05786706273438008,47
ZSCAN26,-0.04776053510251758,-0.04776053510251758,1
ZNF660,0.047586254711504905,0.05774477614273122,69
ID2,0.046915439070200064,0.05782938034995928,85
ASXL2,0.04660518262638472,0.0624823845379074,12
ZNF404,0.04640075145724773,0.047638027230026705,5
DNMT1,0.046344779752374124,0.05530141559835414,23
FXR1,-0.04588229554579735,-0.04670439419223645,114
ZNF816,-0.04527970820437431,-0.03638678558245872,60
SIPA1,0.04515794508641031,0.063346586782498,20
CDH4,0.04420592225471246,0.05749320825204614,13
ZNF350,-0.043597807878678105,-0.0632232386886935,159
ZNF202,0.043286559549142394,0.03247680729946528,20
RARB,-0.04323716423289857,-0.04323716423289857,1
DICER1,-0.043236778323397375,-0.015696847326826913,10
MXD1,-0.04288983880628362,-0.04756845930069241,48
TRIP13,-0.042617481687007686,-0.03572510672175099,14
NFE2L1,-0.04255119777831211,-0.04453413870140882,145
ID1,0.04244510767183575,0.05451540141202473,136
ZNF740,-0.042426821270888634,-0.02962283696114842,180
FOXG1,0.04232149782792696,0.01775994133385168,29
CEBPE,-0.04210954681254862,-0.007602043370681823,11
MCM3,-0.041959931695859466,-0.022752927064239502,26
ZBTB12,-0.04190576024540704,-0.05150311945503255,119
MCM5,0.04128443960051794,0.04128443960051794,2
BDP1,-0.041254802151530275,-0.03632584097407751,243
ZMYM2,-0.04106530214116837,-0.015095241471848764,10
CAVIN1,0.04083940542233156,0.038219527367060545,8
PSMB5,0.04079360931807809,0.03216062653016315,50
ZNF320,-0.04068099310917275,-0.04696708828002129,220
ZNF318,-0.04062152862787422,-0.04494817482391993,143
HOXA10,0.04056923110617876,0.024083315844717398,23
GTF2A2,0.04053979739316511,0.024945715436102862,56
MEF2C,0.040193553812911446,0.02819335647720546,259
MYOCD,0.03940485811165855,0.04180325871417788,284
EPC1,-0.038922779253851646,-0.023757478964904013,20
ZNF331,-0.038850655006250116,-0.036289712073823636,41
NCOA6,-0.03865856376592911,-0.045582775156947836,41
TSHZ1,-0.038586648983954246,-0.06610361656925622,43
ZNF423,0.03850386633398704,0.06160196388376646,190
NR5A1,0.03823186422401165,0.03823186422401165,2
TEAD2,0.03818138078719846,0.03328973889912486,113
NFKBIA,0.038137515404440804,0.04309892474000143,284
ZNF830,-0.03810322350900885,-0.056968067639050934,24
MAP2K1,-0.03792648388516724,-0.03792648388516724,2
ZNF510,-0.03748935125722956,-0.05082012353139331,8
KLF14,0.03705058142406067,0.04596165328910107,23
ZNF419,0.037007212603840794,0.037007212603840794,2
ZNF92,-0.03692007304607137,-0.03942509834554388,289
PHB2,0.03654511990971851,0.017535561625037804,37
TOX4,-0.036500084576480324,-0.026508771989771834,17
CIC,-0.03649602049319298,-0.03987089052179599,40
ZNF426,0.03630480209129738,0.03765578979755975,24
ZNF711,0.03576658068558835,0.004013646283765521,53
ZBTB18,0.03568230689107648,0.030172544497469183,123
NME2,0.03564235119466679,0.02989187081397099,21
GLI4,-0.03540453918632418,-0.03934548933467511,50
ZNF622,0.03536325056265379,0.04714266836019068,5
CASP8AP2,-0.03530738637576085,-0.03136639126247562,19
ZNF592,-0.035283607230959795,-0.036482725699655924,203
ZNF101,-0.035188087397961657,-0.030803836524775696,37
ZNF530,-0.03513325496995913,-0.06279613751425556,5
BARX1,0.035094933551211425,0.027035899516116818,83
ZNF707,-0.0350032754213596,-0.08890035725100413,10
COBLL1,0.03498249681129307,0.038488837444121904,20
LHX3,0.03497882563002119,0.046859170853411306,13
HDAC4,0.034802250403314604,0.038634576901394324,71
SRSF9,-0.03461551245551996,-0.03060800996317345,116
ZNF41,-0.03455975254418658,-0.04819249774398441,44
MAPK3,0.03448108545804687,-0.018083315880828392,14
HSD17B8,-0.03428579884349189,-0.01112087205960446,114
