gene,log2FoldChange,padj
ZMYND10,2.746686465966765,6.339696840689275e-165
SPAG6,2.6655595127156895,1.633981350989425e-30
KCNF1,2.630120230851087,7.036113957985681e-55
DNALI1,2.6167766632584666,3.794753495239603e-145
CFAP46,2.5565629688234726,1.05527211141324e-61
CFAP61,2.513888488912219,1.1371697504884541e-141
SPEF1,2.3521102374474734,1.7115869571154543e-104
ERICH3,2.1904073313659467,1.940506730513117e-30
RP1,2.1741818569589233,2.1541329314048305e-44
UBXN10,2.1362366119071523,6.679842306697509e-96
NHERF1,2.019115872073059,1.1454931266429883e-48
LRRC46,2.006299554130151,1.275661718112626e-114
RSPH1,1.9542280424327685,2.1939748771937926e-99
FOXJ1,1.9473003223419594,2.921030769933722e-23
NME5,1.929872228853269,6.695390966792192e-65
IQUB,1.928569357583021,3.6112695595671793e-71
DNAH5,1.893605683053085,1.263201081740299e-63
NEURL1,1.845709427849362,7.422119135600706e-33
CCNO,1.79750191137175,7.213853446008466e-32
CFAP43,1.7522257697422416,1.4546066522933555e-78
DNAAF3,1.749269657779129,4.202713843999605e-60
DNAI1,1.7403879602627712,3.1549176822436333e-43
PIERCE1,1.730538821306756,4.824405152380341e-118
CEP126,1.7283854061102735,1.5156614808784134e-71
ABLIM3,1.7063939659433958,3.7044877757866887e-63
DNAH7,1.6916015127905497,4.441196705878559e-89
CFAP69,1.663401853692054,7.249056184905023e-102
MCIDAS,1.6008673361249333,2.0384083243999376e-18
CFAP91,1.5888108038096491,4.5528405803124835e-48
DNAAF11,1.426843901995903,2.0154131990117352e-52
CFAP65,1.4124449874693858,7.393548977347634e-16
DNAAF8,1.401478675928468,7.596650480898137e-70
CFAP184,1.3741496500583075,9.095763735826238e-92
NECTIN2,1.3562851077446916,2.371498461381926e-56
SPEF2,1.3393884544171926,1.1166189667791408e-100
CATIP,1.336732111668733,6.821521320653991e-39
RAB17,1.334830802712054,3.633579380253204e-66
TEKT2,1.321553756137879,3.4402680967637965e-28
IFT140,1.3148732781201529,2.4386802417708563e-90
CFAP70,1.3043262460068885,7.67580437688942e-57
MACIR,1.2903846800301548,4.0604927940097307e-69
DNAI3,1.2659397821745526,1.0051044422517702e-31
CIMAP3,1.2625821602142149,9.871659731969233e-38
BBOF1,1.2564523381609305,9.044823028215642e-97
CCDC40,1.2280870546148095,7.620354945291902e-66
ODAD4,1.1668733145628793,1.1422110237391629e-49
CCDC65,1.1449978662489892,2.6600299421779115e-49
DNMBP,1.1175582346826727,2.7980226666305256e-44
DNAL1,1.1079586764706013,5.46847012397368e-111
CFAP53,1.0880316599043462,8.00273171396792e-50
CELSR2,1.083659045663982,3.444709266751709e-32
ODAD1,1.0732754091320704,4.334884834512436e-31
CDC14A,1.0419951846885258,3.439599294309912e-22
BBS1,1.011724549917499,1.4358379410148765e-88
LRGUK,1.0067188561073164,1.4545621787618086e-32
TTC8,0.988667414258312,1.0739648658004797e-111
WDR90,0.9741005629888244,6.854967062506311e-42
CFAP221,0.9401316750598834,4.5655703457044464e-11
WDR19,0.9268684770643018,1.1173752648669656e-93
BBS4,0.8870011462582676,6.745240810109286e-93
CFAP126,0.8678546513714646,2.9344841176401292e-30
TAPT1,0.8594731762530253,7.631946282181048e-68
LCA5L,0.8532795766121479,3.6046273355966887e-53
DNAI4,0.8499417024909448,3.5904238035199934e-28
DYNC2H1,0.8428974216808194,1.2777709115054566e-28
IFT70A,0.8412612560228961,2.386325493529083e-40
RAB11FIP3,0.8362508691090129,2.903649342457818e-64
CFAP206,0.8349829221632962,1.7441782417193243e-23
CCDC159,0.8227690954805016,9.366892748613055e-51
IFT88,0.8010707974781075,2.959174693125145e-69
DNAAF4,0.7997653870712812,4.1315425536589643e-47
TBC1D30,0.7917323592880032,2.4738071695293018e-22
TCTN1,0.7916973117181433,1.3770061961210064e-69
BBS5,0.7844767764029743,3.2996799723575563e-80
ARL3,0.7777387139475747,1.8324037625323985e-63
TCTN2,0.7766511868727892,1.9015881933014844e-48
STK36,0.7556957249907105,8.545118749630747e-60
KIF3A,0.7553773981225133,2.5012946869028207e-51
PCM1,0.7288323831354602,1.9341157764103924e-26
TOGARAM1,0.7273818279614864,9.528258020816323e-48
TTC12,0.7218006228155001,1.7612104501352165e-33
IFT46,0.7051201450914713,7.209734458890896e-31
CFAP119,0.6960911496157579,3.3761450866747917e-34
LIMA1,0.6949298577861099,2.8751202726468775e-38
BBIP1,0.6838646119939263,3.899805918100585e-25
DNAAF1,0.6753224511294852,4.393838491709539e-19
CEP120,0.6566882220473276,6.712288682478209e-53
ZMYND12,0.6412397717624431,9.899172821124859e-18
JHY,0.6389623786055261,1.2360500129365693e-14
INTU,0.6307530820853995,3.7007357755012557e-28
ARHGAP35,0.6298789945459168,3.980181992190118e-38
ARMC9,0.61765992449704,4.491997017210692e-51
CEP290,0.6159923374192469,2.516337862352634e-37
IFT70B,0.6135573582504791,7.256374613537399e-40
TTC39C,0.6123241793731686,5.303830423273255e-24
SPATA6,0.6083006180988186,7.139706163579554e-26
MAK,0.6048666962981611,4.721905851647351e-12
CCDC57,0.6046966820949801,9.061960823173766e-13
CPLANE2,0.5996285649300076,3.0438832039842886e-33
EHD2,0.5915194960296389,6.890967977945357e-11
DYNC2I1,0.576790860999768,3.487512204014499e-29
TTC21A,0.5700602980305236,1.2199593931893654e-24
CFAP54,0.5615394019982977,1.3952461079316277e-10
IFT122,0.5610209716258998,3.3864148230384637e-28
CFAP57,0.5606235330923587,5.73400544094181e-23
TMEM67,0.5537039117309974,2.0266973930020176e-16
TBC1D9B,0.5421624363386961,8.288442435894205e-11
LCA5,0.5400679597009155,3.3886922329992978e-18
CCDC13,0.5395869717018364,8.53822233935658e-13
CCDC146,0.538840303321276,2.783525519811702e-16
PIERCE2,0.5311048308460556,3.466349685985202e-21
CFAP157,0.5302127465402445,8.800861643833134e-16
FUZ,0.507077618593894,1.4000823301791367e-21
TRAF3IP1,0.5020755230239747,1.0955220477439614e-47
B9D1,0.4920064445532717,1.617923142152763e-9
CFAP44,0.4919240123245679,3.9446970804251855e-12
DYNC2LI1,0.489939832962144,2.18949489247626e-38
RAB3IP,0.4784237937788403,7.844882688037718e-9
TBC1D19,0.4779896720101323,1.9676892046855148e-33
KIF3B,0.4628846300449407,1.5733434517670993e-29
RPGR,0.4572758550460792,1.380829980488788e-25
HTT,0.45091777081652695,4.7760811942437044e-23
TTLL3,0.4388476112596869,2.6278042743675665e-12
CCDC88C,0.4369331314382384,4.9129934902857715e-15
CCP110,0.42901300742752857,8.227477544047687e-17
IFT22,0.4272183342673389,1.2594601329186921e-22
FAM161B,0.4263261174739919,5.942991866400485e-32
RILPL2,0.42460159459234575,4.3010346640135495e-15
IFT43,0.42434848116953866,6.845130790242014e-20
TBC1D17,0.4189750633345498,2.2226814911808213e-24
TXNDC15,0.41127293464199655,3.2930853304382145e-32
SPACA9,0.40724092095683395,7.861845385032533e-15
UBE2B,0.39491697829888095,5.236703445059114e-31
ELMOD3,0.39394519758065566,9.11683151771298e-25
CCDC32,0.3886352724437726,6.589665135283873e-31
LRRC23,0.38645988300057005,2.379077584256983e-12
TBC1D15,0.38514630849352155,4.190924250235751e-16
TTBK2,0.3744525795874936,8.88696682752093e-19
RABL2B,0.36951090978688467,1.2471133738951941e-8
CC2D2A,0.3671217382355086,1.4492890609567713e-11
LAMA5,0.3633893638658791,3.865536872530088e-5
RAB11A,0.3601849191591351,1.712030593015406e-19
IFT56,0.3597204863093058,3.646063070778106e-15
MKS1,0.359612605933042,2.845500738629981e-13
POC1B,0.3591381861770753,2.2685909519535674e-16
CLUAP1,0.3581876100384972,9.664381913682791e-17
CEP97,0.34784278575358113,3.189010290674509e-6
CCDC66,0.345931970316074,6.369093744450794e-15
B9D2,0.34378615086130504,1.9532964857801147e-10
TRIM32,0.340879355123145,3.055806605849997e-14
SNAP29,0.33429531085378217,3.334510164853694e-19
TBC1D10A,0.3207240045255226,4.788610170615831e-6
BBS10,0.31407252341799063,7.789615987108774e-12
FBXW8,0.3076398814707737,1.5630372102028175e-14
BBS2,0.3008464922963198,9.310074951214146e-15
TBC1D13,0.272757382374637,2.2436301961964433e-9
KIAA0753,0.2671531971178499,4.097589863637834e-11
CEP20,0.25810303262245426,5.817578960602802e-8
TCTN3,0.24413707747476415,1.3145447283509322e-13
GBF1,0.22041412179549794,1.1605765264136328e-11
TBC1D20,0.21311270658401213,1.0827405851154874e-10
EHD4,0.20972057608853917,0.0017025183314472868
