group,n,mean,median,sd,gene
normal,473,3.3077662401341366,3.334036613237227,0.2946515634935952,ENSG00000003402
tumor,1088,2.2757874852727604,2.3059764932968485,0.41993544746233546,ENSG00000003402
normal,473,2.782481515338959,2.8316788171498426,0.4136845629700098,ENSG00000003436
tumor,1088,1.343577097641455,1.2107524633482467,0.6412605516562409,ENSG00000003436
normal,473,3.9960437830246494,4.016604761819633,0.362691164199754,ENSG00000003756
tumor,1088,3.015758159355113,3.0433439174328134,0.45485996285346825,ENSG00000003756
normal,473,4.124378532833336,4.13347446705069,0.3719399727647089,ENSG00000004534
tumor,1088,3.13112602619925,3.1665319548748414,0.40161738647226225,ENSG00000004534
normal,473,5.923941317635078,5.997019691542244,0.6777193064980899,ENSG00000004776
tumor,1088,2.465521881994281,2.353963000935126,1.080770315697432,ENSG00000004776
